precinct_id,rate_overvote,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
9136,0.0,0.04967704051673518,0.02654139753376395,0.11332941867293014,0.1911920140927775,0.07762771579565475,0.3524368761009983,0.18919553728714036
9137,0.000945179584120983,0.049677040516735174,0.026541397533763948,0.11332941867293013,0.19119201409277745,0.07762771579565472,0.3524368761009982,0.18919553728714036
9138,0.0,0.07199211045364892,0.04963839579224195,0.1047008547008547,0.1457922419460881,0.059500328731097965,0.37902695595003294,0.18934911242603553
9139,0.0,0.07199211045364892,0.04963839579224195,0.1047008547008547,0.14579224194608809,0.05950032873109796,0.3790269559500329,0.18934911242603553
9141,0.0,0.04602573807721423,0.019379258137774413,0.07494322482967448,0.1348978046934141,0.07055261165783497,0.4476911430734292,0.2065102195306586
9142,0.0,0.04602573807721424,0.019379258137774417,0.07494322482967451,0.13489780469341411,0.07055261165783498,0.4476911430734292,0.2065102195306586
9143,0.0,0.044832874370411176,0.02030171732692114,0.0746377921848092,0.13207611020111018,0.07244189838738553,0.44288153603819275,0.21282807149117008
9144,0.0,0.0356231475757048,0.02742938679159847,0.07226746296413752,0.11026584997591625,0.08702909463227339,0.4057112928953475,0.2616737651650221
9145,0.0010787486515641855,0.07029382396662812,0.016304102111825643,0.0473381596571047,0.12332599153155102,0.03379772763374917,0.44342705104418884,0.2655131440549525
9146,0.0011350737797956867,0.07030636292223096,0.016300078554595445,0.04732914375490966,0.12333071484681854,0.03377847604084839,0.4434406912804399,0.2655145326001571
9147,0.0,0.01789348919330949,0.017638632929024976,0.08529074466107475,0.09673184937952486,0.057761319337287065,0.4282549050180279,0.2964290594817511
9148,0.0,0.021133812122722518,0.020513672360470556,0.08854379318412976,0.10853388073982352,0.0549422940264391,0.4207644624077952,0.28556808515861937
9149,0.0019860973187686196,0.04335424939539677,0.02392822643077915,0.09513023839193133,0.183437291028252,0.03204155527054163,0.39878126663617897,0.22332717284692005
9151,0.0,0.005227141003046658,0.012432433510460906,0.13633058177689353,0.24398766431230579,0.028257659213579013,0.38133191772657266,0.19243260245714142
9152,0.0017152658662092624,0.005227858453280184,0.012433009158088431,0.1363375237426974,0.24399485462501416,0.028256608673703613,0.38132258745161335,0.1924275578956029
9201,0.0,0.005397897475917428,0.011514869775548959,0.06549043957911269,0.08312296264541529,0.017632548288196014,0.4962191160420132,0.3206221661937964
9202,0.0,0.007707888382610514,0.011577060000040038,0.0653142129787982,0.08271333421832072,0.01728219407208137,0.49299042957303846,0.3224148807751108
9203,0.0,0.00644605903788806,0.000314502994465332,0.03180144557953876,0.07191646926718581,0.047643920544593765,0.4939545148855755,0.34792308769075275
9204,0.0,0.014492753623188406,0.005247376311844078,0.029735132433783104,0.06121939030484758,0.03673163418290855,0.5744627686156921,0.27811094452773616
