,AGE,,,,,,SEX,,,EDUCATIONAL ATTAINMENT,,,,,,,,,,POVERTY STATUS,,,,HOUSEHOLD INCOME (IN 2021 INFLATION-ADJUSTED DOLLARS),,
Tract,,Total,18 to 29 years,30 to 44 years,45 to 64 years,65 years and over,,Male,Female,,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school degree or higher,Bachelor's degree or higher,,"Total Citizens, 18 years and older, for whom poverty status is determined",Income in the past 12 months below poverty level,Income in the past 12 months at or above the poverty level,,"Median Household Income for Households with a Citizen, Voting-Age Householder",
177,,1462,227,707,422,106,,854,608,,27,22,129,191,81,637,375,1413,1012,,1462,68,1394,,155893,
178.01,,2999,236,519,604,1640,,1426,1573,,588,292,302,489,74,723,531,2119,1254,,2999,652,2347,,26362,
178.03,,1319,294,543,346,136,,961,358,,49,34,236,212,90,482,216,1236,698,,1319,180,1139,,83304,
178.04,,2914,739,1259,705,211,,1592,1322,,40,38,94,325,170,1524,723,2836,2247,,2914,284,2630,,136939,
179.03,,2004,1004,619,303,78,,1115,889,,5,202,635,515,99,482,66,1797,548,,2004,940,1064,,87542,
180,,2748,680,1043,812,213,,1739,1009,,12,109,377,443,80,1043,684,2627,1727,,2549,558,1991,,178125,
201.01,,2493,338,1153,779,223,,1441,1052,,81,29,347,173,115,1247,501,2383,1748,,2493,344,2149,,102917,
201.02,,2224,268,840,860,256,,1524,700,,234,120,299,365,130,657,419,1870,1076,,2224,520,1704,,53300,
202.01,,1644,309,703,428,204,,947,697,,65,92,126,87,82,713,479,1487,1192,,1644,222,1422,,144276,
202.02,,3288,1093,899,868,428,,1839,1449,,24,47,565,262,263,1672,455,3217,2127,,3288,580,2708,,138309,
203,,3076,507,1159,1100,310,,1989,1087,,63,50,130,298,52,1396,1087,2963,2483,,3076,235,2841,,183068,
204.01,,2716,410,762,1222,322,,1689,1027,,10,20,131,259,143,1361,792,2686,2153,,2716,87,2629,,157206,
204.02,,3664,819,1032,1138,675,,2316,1348,,17,0,265,494,224,1742,922,3647,2664,,3664,329,3335,,126897,
205,,2301,197,864,940,300,,1631,670,,0,25,141,265,89,760,1021,2276,1781,,2282,96,2186,,236719,
206.01,,2602,306,777,1224,295,,1813,789,,117,20,122,402,112,983,846,2465,1829,,2602,176,2426,,148365,
206.02,,2211,333,529,843,506,,1263,948,,6,25,14,179,21,1001,965,2180,1966,,2211,178,2033,,148828,
207.01,,2422,247,1014,1017,144,,1177,1245,,0,13,43,111,26,1196,1033,2409,2229,,2422,166,2256,,250000,
207.02,,1593,206,675,398,314,,813,780,,67,0,134,205,81,709,397,1526,1106,,1593,175,1418,,96786,
208.01,,2528,741,787,668,332,,1319,1209,,271,181,193,315,54,992,522,2076,1514,,2528,278,2250,,86964,
208.02,,2100,1007,628,354,111,,1434,666,,0,139,173,249,0,979,560,1961,1539,,2100,217,1883,,132674,
209,,2938,614,1244,699,381,,1382,1556,,122,184,157,400,89,1326,660,2632,1986,,2938,392,2546,,119851,
210,,3210,570,1297,792,551,,1695,1515,,80,8,164,370,206,1427,955,3122,2382,,3210,250,2960,,156375,
211,,2859,465,927,930,537,,1539,1320,,17,10,246,174,36,1247,1129,2832,2376,,2859,93,2766,,194875,
212,,2289,327,797,721,444,,1242,1047,,0,24,78,353,61,846,927,2265,1773,,2286,48,2238,,173190,
213,,1861,141,740,638,342,,1139,722,,28,0,106,230,35,916,546,1833,1462,,1861,105,1756,,167787,
214,,2962,475,1092,805,590,,1580,1382,,30,39,185,297,259,1095,1057,2893,2152,,2962,226,2736,,198485,
215,,4378,655,1914,1427,382,,2099,2279,,82,79,329,361,202,1444,1881,4217,3325,,4378,266,4112,,237372,
216,,3145,378,924,1121,722,,1615,1530,,14,0,244,322,146,1142,1277,3131,2419,,3145,66,3079,,193750,
217,,3073,421,628,1298,726,,1289,1784,,61,22,119,468,145,1127,1131,2990,2258,,3073,113,2960,,146701,
218,,3109,531,1124,899,555,,1580,1529,,12,52,236,252,186,1168,1203,3045,2371,,3109,215,2894,,190634,
226,,2612,600,1291,593,128,,1506,1106,,0,9,65,326,73,982,1157,2603,2139,,2612,34,2578,,223375,
227.02,,1623,410,656,450,107,,806,817,,49,35,20,128,25,836,530,1539,1366,,1623,128,1495,,215536,
227.04,,2695,411,964,914,406,,1531,1164,,21,6,103,204,113,1202,1046,2668,2248,,2695,163,2532,,214444,
228.01,,3611,608,1389,998,616,,1846,1765,,144,193,557,447,259,1286,725,3274,2011,,3600,437,3163,,154886,
228.02,,1898,292,649,546,411,,963,935,,146,145,260,395,79,578,295,1607,873,,1563,277,1286,,106131,
228.03,,3254,754,1253,791,456,,1658,1596,,226,91,567,485,181,1207,497,2937,1704,,3229,287,2942,,152872,
229.01,,2467,431,994,755,287,,1181,1286,,278,193,305,249,86,967,389,1996,1356,,2467,338,2129,,117784,
229.02,,1654,309,609,428,308,,924,730,,75,55,325,207,81,531,380,1524,911,,1654,138,1516,,154423,
229.03,,2181,614,700,616,251,,1036,1145,,129,68,319,324,45,942,354,1984,1296,,2181,98,2083,,153088,
230.01,,3861,942,778,1286,855,,2030,1831,,596,512,892,664,118,955,124,2753,1079,,3861,712,3149,,76087,
230.03,,3038,462,904,1008,664,,1493,1545,,333,179,395,703,225,885,318,2526,1203,,3038,236,2802,,135081,
231.02,,2077,287,807,576,407,,922,1155,,198,203,327,801,167,246,135,1676,381,,2077,383,1694,,40881,
231.03,,2027,524,629,566,308,,787,1240,,134,334,659,607,139,96,58,1559,154,,2027,584,1443,,26919,
232,,2570,342,721,991,516,,1068,1502,,344,71,560,540,171,648,236,2155,884,,2570,201,2369,,108250,
233,,2556,384,529,969,674,,1257,1299,,428,184,552,497,200,536,159,1944,695,,2556,313,2243,,72804,
234,,2783,696,845,619,623,,1240,1543,,319,167,703,875,237,321,161,2297,482,,2783,567,2216,,80050,
251,,2565,296,1090,706,473,,1208,1357,,237,12,137,452,96,935,696,2316,1631,,2565,261,2304,,153354,
252,,3688,395,916,1709,668,,1915,1773,,120,70,510,408,104,1209,1267,3498,2476,,3688,395,3293,,147257,
253,,3445,721,1259,880,585,,1807,1638,,182,47,560,643,113,1098,802,3216,1900,,3408,164,3244,,172292,
254.01,,2533,426,916,848,343,,1267,1266,,69,25,156,383,80,1029,791,2439,1820,,2533,91,2442,,163095,
254.02,,2658,427,506,970,755,,1290,1368,,72,147,410,373,219,870,567,2439,1437,,2658,135,2523,,169293,
254.03,,2710,290,868,1013,539,,1346,1364,,141,213,410,511,168,657,610,2356,1267,,2710,111,2599,,129602,
255.01,,2514,636,250,949,679,,1225,1289,,566,39,250,206,56,1115,282,1909,1397,,2506,126,2380,,126036,
255.02,,3403,692,928,1038,745,,1821,1582,,137,208,511,824,230,982,511,3058,1493,,3403,259,3144,,170125,
256,,3643,790,805,1218,830,,1942,1701,,373,293,717,719,253,1020,268,2977,1288,,3643,156,3487,,120446,
257.01,,3663,443,835,1714,671,,2066,1597,,526,203,894,601,414,792,233,2934,1025,,3663,395,3268,,114875,
257.02,,2869,407,651,982,829,,1308,1561,,435,170,574,545,386,554,205,2264,759,,2868,263,2605,,108452,
258,,1572,313,467,541,251,,677,895,,116,260,305,342,100,309,140,1196,449,,1572,117,1455,,82273,
259,,3327,601,805,1224,697,,1635,1692,,234,156,572,673,428,920,344,2937,1264,,3327,277,3050,,129559,
260.01,,4334,965,1394,1261,714,,2287,2047,,214,431,813,1041,296,1195,344,3689,1539,,4334,486,3848,,111116,
260.02,,2721,394,693,846,788,,1199,1522,,162,301,464,458,186,800,350,2258,1150,,2367,247,2120,,129018,
260.03,,3651,624,801,1382,844,,1686,1965,,574,164,511,951,190,996,265,2913,1261,,3651,180,3471,,99583,
260.04,,2508,478,595,743,692,,1262,1246,,374,197,501,472,211,591,162,1937,753,,2508,172,2336,,104647,
